customer_id,customer_ext_id,customer_name,city,postal_code,country_id
69,04-049-1006,Averell Joint,Hancheng,993-0035,1
70,25-492-4931,Deane Benbough,Dongxin,3791994,1
71,38-206-8901,Grenville Hyne,Shawan,4238958,1
72,93-710-1150,Asia McNess,Carromeu,987-0356,8
73,79-752-9044,Fayre Crocket,Kohila,355 01,30
74,94-829-5714,Olive Jeannon,Kizhinga,4472915,7
75,17-162-2135,Karoline Pocock,Bislig,5020280,31
76,08-581-0238,Rosanne Zorzutti,Oji River,3810-764,9
77,51-824-3545,Kele Bracknell,Pisangkemeng,692773,13
78,03-133-1843,Artair Lant,Ulety,649-6330,7
79,52-259-8758,Marielle Buffey,Mogoditshane,33623,32
80,22-744-2112,Maighdiln Lamswood,Guangshun,649-6330,1
81,54-926-6336,Deina Agus,Molagavita,353719,11
82,38-254-0934,Cirilo Koschek,GareÅ¡nica,355 01,33
83,72-486-1808,Konrad Standering,Sanshan,-1328080.66666667,1
84,40-931-4451,Lilyan Schohier,Youchou,-1488128.66666667,1
85,81-286-3465,Eva Dulake,Voiron,-1648176.66666667,27
86,42-037-9687,Roi Critzen,Leninsk,993-0036,7
87,09-427-8083,Darby McLae,Sinmak,4685922,2
88,73-000-6730,Christian Yeld,Parigi,5132886,13
89,24-902-5422,Delilah Ayerst,Ngedhusuba,987-0357,13
90,38-777-7517,Hynda Skeel,Mata-Utu,356 01,34
91,45-670-3073,Mill Lambell,Otuzco,5567645,3
92,22-817-6388,Melicent Gieves,Jangkat,6115010,13
93,30-882-6768,Melisent Claessens,TÃ¢n PhÃº,3810-765,28
94,80-373-3482,Son Hurworth,Cruz Alta,692774,19
95,19-175-1000,Martainn Van Zon,Su-ngai Kolok,649-6331,23
96,27-350-6986,Elladine Kobiela,Bajos de Haina,33624,35
97,44-929-7305,Candy Simoncelli,Shuiting,649-6331,1
98,41-635-6237,Berkley Petrashov,La Rioja,353720,36
99,00-381-6823,Eba Harriagn,La Calera,356 01,36
100,59-261-5057,Wilek Ivanyushkin,Maychâ€™ew,-1808224.66666667,37
101,13-132-4970,Kalindi Ryman,Sumbersari Wetan,-1968272.66666667,13
102,78-150-8068,Viva Foulstone,OpatÃ³wek,-2128320.66666667,38
103,26-834-8571,Hermione Crix,Tuopu,993-0037,1
104,80-644-1720,Evan Goldsbury,Businovo,5579850,7
105,66-365-0560,Linus Gresham,CaÃ±as,6026814,39
106,73-849-7161,Malchy Huddlestone,Hradec KrÃ¡lovÃ©,987-0358,15
107,96-606-2380,Hakeem Leadston,Haoxue,357 01,1
108,82-632-3278,Lucilia Sandeman,Liangjing,6662375,1
109,88-786-4775,Yorgos Staite,Hartswater,7209740,40
110,27-255-5518,Lenore Tabb,Mayuan,3810-766,1
111,55-534-3489,Cathleen Gooday,Sabugo,692775,8
112,91-467-3717,Heinrick Setchfield,Yushikalasu,649-6332,1
113,72-701-8397,Worth Laweles,Ho,33625,41
114,93-083-1812,Noby Torvey,Couva,649-6332,42
115,89-643-5055,Adah Adamczewski,Nangang,353721,1
116,60-477-3944,Vivie Twinning,BanÄ« an NahÄrÄ«,357 01,43
117,91-616-5387,Zora Hanalan,Lagayan,-2288368.66666667,31
118,62-404-0979,Ham Penhall,Kisoro,-2448416.66666667,29
119,30-459-4522,Blancha Trippack,KassÃ¡ndreia,-2608464.66666667,44
120,73-981-1213,Carney Speer,Duas Igrejas,993-0038,8
121,86-200-6226,Christoforo Vagg,IjuÃ­,6473778,19
122,12-210-8916,Lorette Golsthorp,Shuiting,6920742,1
123,09-129-7277,Rana Rait,AÃ§ucena,987-0359,19
124,17-656-8981,Nev Bompas,Qianyou,358 01,1
125,36-854-2948,Sherilyn Ilewicz,Tambulig,7757105,31
126,83-486-4557,Fredi Helks,Kasugai,8304470,4
127,71-234-5179,Steward Lavies,Parlilitan,3810-767,13
128,81-515-1278,Anastasie Jahnisch,Biâ€™r al á¸¨ufayy,692776,45
129,53-839-6279,Lyndel Rodwell,NÄlchiti,649-6333,46
130,49-536-9801,Elisabetta Jacke,San Juan,33626,31
131,84-031-0794,Gage Tocknell,Calasgasan,649-6333,31
132,07-457-0443,Den Coppock.,Golden,353722,16
133,50-716-5754,Granville Mallison,Longhuashan,358 01,1
134,83-854-5062,Davita Baynham,Osekovo,-2768512.66666667,33
135,31-441-5077,Brook Rainger,Medaya,-2928560.66666667,47
136,30-668-7438,Torr Windrus,Yejia,-3088608.66666667,1
137,37-013-0292,Sterne Salterne,Shawnee Mission,993-0039,48
138,91-982-8246,Keane Wait,Emiliano Zapata,7367706,6
139,73-965-2661,Shelbi Grishakov,Makur,7814670,49
140,65-465-1137,Wyn Attwoull,LadhewÄla WarÄich,987-0360,50
141,46-957-2549,Mady McMennum,Provo,359 01,48
142,80-328-3018,Hedi Pellington,Dranoc,8851835,51
143,19-745-7544,Durante Bullers,QuiÃ±ota,9399200,3
144,21-950-4765,Gale Reeves,Bhadrapur,3810-768,52
145,37-402-2949,Erika Greensmith,Kindu,692777,53
146,24-909-6177,Gerta Sanday,Dengtang,649-6334,1
147,58-570-3984,Veronique Caramuscia,Kastrat,33627,54
148,65-987-4463,Alaric Thaw,Uppsala,649-6334,26
149,21-903-1493,Ingamar Forker,Niedercorn,353723,55
150,80-273-1248,Freida Nannizzi,Andrushivka,359 01,17
151,10-502-1445,Aurie Unthank,Buga,-3248656.66666667,56
152,98-956-4430,Sayer Goudman,Juazeiro do Norte,-3408704.66666667,19
153,58-165-3429,Ash Lodford,Yuejin,-3568752.66666667,1
154,99-033-8011,Chaddy Mangeney,Zamora,993-0040,21
155,44-048-2898,Cullie McBrady,Boavista,8261634,8
156,92-325-4771,Mack Fabri,Tarariras,8708598,57
157,16-968-9858,Christen Jedrachowicz,Bergville,987-0361,40
158,96-909-7950,Eleonore Stitcher,Nancheng,360 01,1
159,75-905-7326,Staci Coppens,Waiwukak,9946565,13
160,40-571-6226,Maible Dalgarno,Shuikou,10493930,1
161,10-921-5699,Viviyan Lantiff,Simod,3810-769,31
162,37-372-9415,Gerta Hehir,Bel Air RiviÃ¨re SÃ¨che,692778,58
163,14-852-2100,Lynsey Ludlamme,Luyang,649-6335,1
164,82-288-9392,Kariotta Core,Kusheriki,33628,9
165,56-326-1556,Carena Nucator,San Juan de Manapiare,649-6335,59
166,85-368-5194,Windham Meekin,Sidonganti,353724,13
167,09-888-3706,Kipp Coulling,Azenhas do Mar,360 01,8
168,22-453-6603,Alida Dumphy,Bagong Pagasa,-3728800.66666667,31
169,59-998-9285,Perrine Scalera,Temorlorong,-3888848.66666667,13
170,31-307-2307,Ezequiel Cunniff,LubieÅ„ Kujawski,-4048896.66666667,38
171,73-427-9774,Sully Cunney,Dowr-e RabÄÅ£,993-0041,60
172,41-082-7417,Clevey Garfit,Daegu,9155562,61
173,68-700-9823,Berne Banbury,Khuzhir,9602526,7
174,03-051-7819,Nessie Wheal,Gucheng,987-0362,1
175,57-301-6790,Manolo Russ,Kroya,361 01,13
176,94-865-3366,Mureil Codman,Figueiredo,11041295,8
177,00-090-3491,Bradford Rafe,Koungheul,11588660,62
178,77-591-2181,Esra Mc Meekan,Heshan,3810-770,1
179,99-109-2353,Web O'Howbane,Igreja,692779,8
180,73-175-9496,Jordan Donner,Vila Fria,649-6336,8
181,90-491-1239,Yorgos BoHlingolsen,Figueira dos Cavaleiros,33629,8
182,63-604-3193,Onfroi Kornyakov,Bongao,649-6336,31
183,02-974-0997,Aubine Chardin,Pasian,353725,31
184,84-403-5215,Hana Livesay,Wutong,361 01,1
185,75-436-9725,Cristabel Nutty,Yudaikelike,-4208944.66666667,1
186,10-972-8681,Abigail Struis,Mahekou,-4368992.66666667,1
187,11-127-1413,Cirillo Creamen,Yanghuxiang,-4529040.66666667,1
188,38-352-8049,Jozef Godson,Forquilhinha,993-0042,19
189,57-611-6010,Tabbie Conboy,Corrientes,10049490,36
190,73-948-0480,Roth Cousans,Rijau,10496454,9
191,59-715-3288,Dene Dawby,Laborie,987-0363,63
192,68-082-3942,Kally Biers,El JÃ­caro,362 01,64
193,43-748-1342,Garek Gearty,Nara-shi,12136025,4
194,23-541-2030,Ulick Tebboth,Boguchar,12683390,7
195,52-934-7220,Merwin Pikhno,Reno,3810-771,48
196,00-435-7006,Silas Asson,Hupalivka,692780,17
197,85-779-8174,Pierson Baal,Nansheng,649-6337,1
198,63-906-6480,Reta Leipoldt,Cibangun Tengah,33630,13
199,73-712-9768,Joline Cancelier,Saint-Claude,649-6337,27
200,70-480-2781,Sheffield Turbitt,Motegi,353726,4
201,94-235-1902,Giustina Thorne,Juá¸©r ad DÄ«k,362 01,65
202,13-641-1831,Gallagher Benyon,Hengli,-4689088.66666667,1
203,71-561-5133,Sabra Corry,Takikawa,-4849136.66666667,4
204,92-135-9201,Charline Windrus,Huangzhan,-5009184.66666667,1
205,09-339-5822,Webster Lomax,Batelov,993-0043,15
206,90-275-2874,Vincent Boarer,Kastsyukovichy,10943418,20
207,37-705-9466,Dietrich Feetham,ManhiÃ§a,11390382,66
208,96-259-0479,Charita Bosworth,Pisz,987-0364,38
209,75-937-6004,Basil Slarke,Mamonovo,363 01,7
210,91-321-8895,Dicky Van der Son,Nizhnyaya Omka,13230755,7
211,80-325-0206,Kali Avis,RodotÃ³pi,13778120,44
212,90-508-0061,Zebedee Spafford,Pasirmukti,3810-772,13
213,29-310-6052,Alexandr McGill,Miliangju,692781,1
214,39-459-6791,Lulu Hastin,Sandaoba,649-6338,1
215,85-700-6393,Ardenia Lobb,Muzhijie,33631,1
216,03-215-3959,Cissy Blondelle,Zhukovskiy,649-6338,7
217,00-689-5519,Jill O'Sirin,Shiogama,353727,4
218,64-198-0112,Tommi Durham,Kertorejo,363 01,13
219,80-658-1730,Adham Heyns,Bila Tserkva,-5169232.66666667,17
220,35-344-7124,Shandeigh Andreas,Silveiros,-5329280.66666667,8
221,35-109-7817,Ram Chaudhry,LÃ¼deritz,-5489328.66666667,67
222,13-027-0249,Mattie Winyard,Baitian,993-0044,1
223,58-341-8825,Forester Buxcey,BiguaÃ§u,11837346,19
224,57-489-1320,Crysta Garratty,Tambong,12284310,31
225,99-534-0752,Waylan Grieve,Lang,987-0365,1
226,46-708-9429,Ermina Kitter,Dongzaogang,364 01,1
227,55-267-3235,Raymond Cranage,Tebluru,14325485,13
228,30-073-5505,Kore Smurfit,Gedangan,14872850,13
229,14-968-9727,Desdemona Dobbinson,Zaozerne,3810-773,17
230,02-063-5381,Elora Eliesco,ChiÅŸinÄƒu,692782,68
231,97-687-5761,Annaliese Cowill,Matagalpa,649-6339,69
232,90-627-6303,Nadean Elves,Pardubice,33632,15
233,47-900-5071,Burgess Hancill,Mananjary,649-6339,70
234,32-475-1071,Alvan Winspare,BayanaÅ«yl,353728,22
235,97-708-6756,Ethelbert Cordeux,KittilÃ¤,364 01,71
236,32-836-5069,Gilberta Sabberton,El RincÃ³n,-5649376.66666667,10
237,33-715-4955,Reginauld Kelemen,Paris 01,-5809424.66666667,27
238,13-989-5109,Merrill Sawford,Nggambel,-5969472.66666667,13
239,61-819-5221,Jackelyn Jacox,Biga,993-0045,31
240,14-998-1300,Rene Garn,Ngora,12731274,29
241,76-877-1926,Araldo Gutman,Gunziying,13178238,1
242,62-870-7138,Stewart Keppe,Salzburg,987-0366,72
243,68-435-7756,Fidelity Banham,Thap Than,365 01,23
244,06-346-0589,Zorana Diggin,Baidian,15420215,1
245,45-770-5550,Grenville Bottomore,Siliana,15967580,45
246,57-734-9941,Julina Di Franceschi,Liangkou,3810-774,1
247,16-233-7577,Natty Murt,Nyamanari,692783,73
248,33-155-2546,Phillipe Ropartz,Lukunor,649-6340,49
249,72-484-4060,Douglas O' Cloney,Buracan,33633,31
250,01-882-3064,Adrianne Freeland,Saint-Leu-la-ForÃªt,649-6340,27
251,44-352-4880,Maisie Matyushkin,Zhenlong,353729,1
252,29-581-4956,Lew Allot,Quinta da Courela,365 01,8
253,91-062-1559,Fairfax Seniour,Destrnik,-6129520.66666667,74
254,60-056-7305,Vania Gilding,Coronel Vivida,-6289568.66666667,19
255,93-077-9628,Aime Ferry,Sacramento,-6449616.66666667,48
256,27-928-3810,Waldo Tomkiss,Loivos,993-0046,8
257,59-029-6148,Ely Doodson,Xiaji,13625202,1
258,88-633-8492,Cate Pagitt,Cancas,14072166,3
259,16-061-3868,Johnette Haitlie,Biankouma,987-0367,75
260,76-663-5204,Aldric Jerman,Longtian,366 01,1
261,53-638-1872,Maybelle Bellows,Viking,16514945,16
262,81-155-1642,Merlina Lermit,Allentown,17062310,48
263,09-463-4222,Livvyy Grombridge,Aracruz,3810-775,19
264,46-863-0685,Tibold MacGorley,Waiklibang,692784,13
265,26-673-1238,Madelin Giacomi,Marmashen,649-6341,14
266,46-036-3035,Arnie Jay,Ulimonong,33634,13
267,78-169-2461,Berenice Marples,Krasnyy Luch,649-6341,17
268,73-374-8667,Marys Offen,OberÃ¡,353730,36
269,91-807-1653,Dacey Witherden,General JosÃ© de San MartÃ­n,366 01,36
270,61-361-4915,Chloette Pyke,Hexing,-6609664.66666667,1
271,91-253-6389,Kameko Cockton,Bang Rak,-6769712.66666667,23
272,26-608-5179,Rayner Lukianovich,Dampit,-6929760.66666667,13
273,40-831-4524,Donella Tomasini,TromsÃ¸,993-0047,76
274,78-925-5718,Dennison Qusklay,Mont-de-Marsan,14519130,27
275,33-532-7457,Orel Gawthrope,á¸¨awsh â€˜ÄªsÃ¡,14966094,77
276,37-472-2855,Harriett O'Sirin,Aveiras de Cima,987-0368,8
277,15-796-7574,Mona Rudwell,Obiaruku Quarters,367 01,9
278,20-514-8420,Britta Barday,Mersam,17609675,13
279,14-149-6520,Zita Coldbath,Zala,18157040,1
280,68-514-7375,Phillis Denley,Lawonda,3810-776,13
281,76-056-5131,Sandor Barradell,Cangkreng,692785,13
282,67-683-3934,Rowena Santori,KÅ‚omnice,649-6342,38
283,85-427-4404,Licha Verden,Manaus,33635,19
284,97-050-8120,Anabelle Dominelli,KalÃ¡vryta,649-6342,44
285,06-994-0572,Philomena Petracchi,Sosnovka,353731,7
286,27-609-7148,Annaliese Brunsden,DÃ¼sseldorf,367 01,12
287,35-231-9391,Kym Lepard,Vales,-7089808.66666667,8
288,38-821-9223,Haily Izakoff,Villiers,-7249856.66666667,40
289,85-902-1541,Junie Older,ShÄ«rvÄn,-7409904.66666667,78
290,68-632-2108,Currie Fidell,Kasangulu,993-0048,53
291,58-972-0413,Estele Schultze,Tisulâ€™,15413058,7
292,60-024-5912,Ber Dillet,Trinity Ville,15860022,79
293,35-838-2312,Merill Leyninye,Ustrzyki Dolne,987-0369,38
294,38-921-3385,Herve Tunmore,Raffingora,368 01,80
295,70-887-8634,Armstrong Collerd,Lallayug,18704405,31
296,72-151-8614,Allyce Mantione,Tosno,19251770,7
297,80-202-1241,Sue Voyce,Datong,3810-777,1
298,43-930-4762,Teriann Olivari,Assiniboia,692786,16
299,62-555-9031,Dalila Baldree,Adamstown,649-6343,81
300,61-290-1464,Becki Bonsall,Shanglaxiu,33636,1
301,76-263-1020,Valma Brideau,Nizhniy Tsasuchey,649-6343,7
302,13-838-5377,Zach Bondley,Lampa,353732,13
303,08-962-4575,Katherine Midson,TomaÅ¡evac,368 01,82
304,54-610-9376,Alisander Cornelisse,Prokhorovka,-7569952.66666667,7
305,61-679-9578,Fax Rojahn,Fukiage-fujimi,-7730000.66666667,4
306,65-854-0852,Hymie Meadowcroft,Arias,-7890048.66666667,36
307,44-527-5077,Steffie Slemmonds,Sangba,993-0049,1
308,45-196-5583,Melessa Lecordier,GradishtÃ«,16306986,54
309,97-034-6516,Gardy Neljes,Ihuari,16753950,3
310,07-795-8092,Chrotoem Estevez,Ayabaca,987-0370,3
311,91-067-3717,Cori Percifer,El Limon,369 01,6
312,00-806-0662,Melisse Southeran,Pohrebyshche,19799135,17
313,85-983-2290,Maressa Fruish,WÄling,20346500,52
314,58-629-4175,Moishe Constant,GrudÃ«-FushÃ«,3810-778,54
315,79-307-3578,Jakie Bullan,TaboÃ£o da Serra,692787,19
316,87-579-7924,Deloria Hannen,Alebtong,649-6344,29
317,33-772-5377,Lucho McGerraghty,Dangbigih,33637,13
318,28-146-1975,Dwain Eccott,Kallar KahÄr,649-6344,50
319,71-674-3925,Jerome Ovitts,Guanagazapa,353733,64
320,42-982-8925,Janith Bowra,Geidam,369 01,9
321,30-049-5208,Essy Licence,Toledo,-8050096.66666667,31
322,97-474-3634,Rosaleen Ionnisian,QÅ­rghontepa,-8210144.66666667,83
323,84-107-5872,Titos Edgcumbe,KatoÃºna,-8370192.66666667,44
324,28-301-5131,Sullivan Eddoes,Barqueiro,993-0050,8
325,18-208-4971,Flem Haibel,Koesan,17200914,61
326,05-230-9436,Gualterio Backshall,TelÃªmaco Borba,17647878,19
327,78-456-9963,Chauncey Barrott,Langpas,987-0371,31
328,34-306-8680,Lana Boyne,Jinshi,370 01,1
329,59-084-7992,Mickie Alred,Inashiki,20893865,4
330,26-229-0678,Kellyann Sambells,Brongkalan,21441230,13
331,98-945-3693,Alexia Candelin,Vihti,3810-779,71
332,63-572-7482,Bianka McLanaghan,Sangkulirang,692788,13
333,50-245-9029,Pansie Alldis,ZÅ‚otniki,649-6345,38
334,02-565-4368,Olly Dobbinson,LukovÃ«,33638,54
335,17-062-2228,Hale Danilchik,Kaducondong,649-6345,13
336,28-599-7053,Sandy Rubinowicz,Guilin,353734,1
337,59-164-4769,Lucais Sewards,Meishan,370 01,1
338,90-805-1347,Joye MacHostie,Novoye Leushino,-8530240.66666667,7
339,67-121-1555,Celinda Mamwell,Lela,-8690288.66666667,13
340,01-010-4453,Norby Foord,KoryÄany,-8850336.66666667,15
341,37-935-3233,Malinde Blunn,Dusun Tengah Cihaurbeuti,993-0051,13
342,93-638-4651,Harry Beak,Zhoukou,18094842,1
343,32-058-7312,Rafferty Guyonneau,Santa Magdalena,18541806,31
344,26-401-4662,Marice Leavens,Zhongxin,987-0372,1
345,99-288-3999,Melinda O'Brogan,Tibro,371 01,26
346,18-878-4452,Brook Begent,IkÅ¡Ä·ile,21988595,84
347,06-566-4150,Ario Meekin,Longju,22535960,1
348,44-371-9315,Schuyler Walewski,Inglewood,3810-780,48
349,16-794-2589,Ariadne Copeland,Phoenix,692789,48
350,75-496-8007,Tamma Clink,Charlotte,649-6346,48
351,80-565-2790,Jaynell Alty,Delta del Tigre,33639,57
352,66-302-7863,Laurianne Diehn,Ikongo,649-6346,70
353,23-068-9989,Padraic Zanutti,Svojat,353735,85
354,67-529-6495,Codee Pindar,DrosiÃ¡,371 01,44
355,94-518-3950,Gabey Macewan,Tagnanan,-9010384.66666667,31
356,51-263-4679,Dinny Fonzone,Mojogajeh,-9170432.66666667,13
357,58-684-1818,Adamo Rumens,BodÄ­,-9330480.66666667,56
358,30-273-7602,Lottie Schultheiss,Miharu,993-0052,4
359,61-440-3934,Ferguson Wilcocke,SychÃ«vo,18988770,7
360,15-509-1414,Kelwin Ryle,Pidigan,19435734,31
361,05-507-9751,Griz Tawse,Bangkalan,987-0373,13
362,80-343-1997,Katie Betancourt,Bender,372 01,68
363,04-641-1747,Caterina Sweetnam,Babatngon,23083325,31
364,98-778-3557,Karia Sonier,Wuxue Shi,23630690,1
365,44-057-4911,Durand Kitt,Aban,3810-781,7
366,21-735-6636,Veradis Tiddy,Stepnica,692790,38
367,91-165-1485,Constantina Mottley,Petropavlovskaya,649-6347,7
368,94-324-2649,Barnabas Gerrell,Mompach,33640,55
369,19-662-9886,Hinda Giacopetti,Saint-Avold,649-6347,27
370,79-230-2093,Zolly Heinzel,Kaliska,353736,38
371,86-735-3061,Julianna Jostan,Agusan,372 01,31
372,95-153-0059,Hallie Roddam,Setono,-9490528.66666667,13
373,91-536-3437,Madlin McGrory,Shangcai Zhongxing,-9650576.66666667,1
374,83-279-6709,Tersina Wolfer,Shiraz,-9810624.66666667,78
375,55-844-1489,Andonis Rawling,Shengrenjian,993-0053,1
376,90-874-3974,Aluin McUre,GrÃ¥bo,19882698,26
377,57-924-8318,Damiano Yurasov,Dampol,20329662,31
378,41-401-4494,Almeta Laird-Craig,Karukh,987-0374,60
379,45-809-5759,Nickolai Balmer,Huolianpo,373 01,1
380,59-553-0874,Isac Crimpe,Ã‰vreux,24178055,27
381,63-816-5027,Verene Beatens,Lamas,24725420,8
382,74-822-1028,Carol-jean Croston,Sijing,3810-782,1
383,72-364-9120,Dareen Soutar,MukÅ,692791,4
384,65-949-4674,Pietra Paute,San Antonio,649-6348,3
385,14-623-7622,Evvie Crossby,Ouango,33641,86
386,72-045-4857,Claybourne Costin,PigÃ­,649-6348,44
387,85-164-1355,Dennie Lilloe,Yueyang,353737,1
388,67-170-9130,Orelle Beadel,Lingquan,373 01,1
389,88-616-2949,Gregg Yellowlea,Queenstown,-9970672.66666667,40
390,52-456-8474,Pete Morden,Caidian,-10130720.6666667,1
391,51-673-6515,Margarette Hobell,Moville,-10290768.6666667,87
392,51-918-5148,Ansell Lethlay,Morrelgonj,993-0054,46
393,71-435-6306,Kathy Fairlam,Shilong,20776626,1
394,22-129-8597,Cleon Moreton,Youcheng,21223590,1
395,70-288-8972,Allyce Berthon,Vitim,987-0375,7
396,32-854-1763,Garvin Guerrazzi,Baiyun,374 01,1
397,01-169-3967,Susette O'Neil,Hamilton,25272785,48
398,86-857-1829,Ignace Cooney,Chapultepec,25820150,6
399,84-742-3186,Emera Whitewood,Manta,3810-783,88
400,64-729-1878,Miquela Dutnell,Kamenskiy,692792,7
401,44-383-3466,Montgomery Spileman,Tselinnoye,649-6349,7
402,71-703-5222,Salem Morgen,Zhengcun,33642,1
403,18-607-5868,Enid Francescuccio,MoglicÃ«,649-6349,54
404,09-799-7986,Evelyn Serrier,Lorient,353738,27
405,98-044-8929,Virginie McGrey,Kuala Lumpur,374 01,89
406,13-473-0498,Susie Torrisi,Yazykovo,-10450816.6666667,7
407,75-903-8085,Georgeanna Boulton,Mayskiy,-10610864.6666667,7
408,88-753-2311,Cynthy Stovold,Budapest,-10770912.6666667,90
409,29-317-1692,Spenser Wandless,Qinxi,993-0055,1
410,34-874-3361,Ethelind Schnieder,Kinna,21670554,26
411,65-570-0362,Paco Towersey,Volzhsk,22117518,7
412,08-227-7061,Laverna Skeermer,Nankengzi,987-0376,1
413,24-717-8311,Granger Aiers,Spytkowice,375 01,38
414,60-022-9187,Lilian Dislee,CordeirÃ³polis,26367515,19
415,15-794-0367,Chrotoem Harniman,Petauke,26914880,24
416,89-492-9791,Thorny Westrip,LidorÃ­ki,3810-784,44
417,94-757-1930,Berny Elcoate,PalpalÃ¡,692793,36
418,48-588-2099,Kiersten Dalliwater,Saumur,649-6350,27
419,83-012-9386,Ives Armstead,Nobo,33643,13
420,69-118-4914,Hersh Bolgar,Cheongsong gun,649-6350,61
421,74-526-8799,Carlin Brabon,Mocajuba,353739,19
422,45-612-9855,Mignonne Shepland,Sudo,375 01,13
423,46-176-6402,Jacky Shapero,Hamilton,-10930960.6666667,91
424,79-477-1193,Roch Panchen,Belo Jardim,-11091008.6666667,19
425,18-234-4252,Stan Clethro,Samashki,-11251056.6666667,7
426,99-380-1965,Hamlen Mashro,Hexi,993-0056,1
427,50-079-2328,Marena Jacox,Montauban,22564482,27
428,77-348-8809,Lorna Bogart,Novoderevyankovskaya,23011446,7
